,Unnamed: 0,acousticness,danceability,duration,energy,id_new,instrumentalness,key,liveness,loudness,mode,music type,popularity,speechiness,tempo,time_signature,valence
0,1,0.18899999999999997,0.826,205000.0,0.7040000000000001,1.0,4.8e-05,9.0,0.0617,-7.527,1.0,reggaeton,68.0,0.11699999999999999,94.01299999999999,0.0,0.741
1,2,0.0169,0.6409999999999999,184413.0,0.693,2.0,0.0,8.0,0.21899999999999997,-7.327000000000001,1.0,reggaeton,61.0,0.163,214.058,0.0,0.899
2,3,0.161,0.7709999999999999,205520.0,0.815,3.0,2.01e-05,1.0,0.18899999999999997,-5.422999999999999,0.0,reggaeton,67.0,0.0719,94.016,0.0,0.524
3,4,0.0352,0.743,172680.0,0.787,4.0,0.0,1.0,0.0732,-5.402,1.0,reggaeton,63.0,0.262,192.11700000000002,0.0,0.7190000000000001
4,5,0.128,0.8759999999999999,227280.0,0.6920000000000001,5.0,0.0,10.0,0.249,-6.428999999999999,1.0,reggaeton,63.0,0.10400000000000001,95.03200000000001,0.0,0.757
5,6,0.0466,0.675,252493.0,0.9209999999999999,6.0,0.00618,4.0,0.11699999999999999,-6.082999999999999,1.0,reggaeton,67.0,0.0365,97.01,0.0,0.7
6,7,0.102,0.816,210933.0,0.747,7.0,0.0,8.0,0.263,-6.468,0.0,reggaeton,72.0,0.0411,97.01899999999999,0.0,0.848
7,8,0.0956,0.705,210103.0,0.5329999999999999,8.0,0.0,11.0,0.292,-11.974,0.0,reggaeton,59.0,0.272,94.022,0.0,0.537
8,9,0.0152,0.847,244773.0,0.7240000000000001,9.0,0.0125,1.0,0.113,-7.267,1.0,reggaeton,50.0,0.052000000000000005,102.10600000000001,0.0,0.691
9,10,0.214,0.7829999999999999,187080.0,0.8240000000000001,10.0,0.0,0.0,0.102,-4.973,1.0,reggaeton,66.0,0.12300000000000001,93.99799999999999,0.0,0.726
10,11,0.534,0.732,267787.0,0.708,11.0,0.0,9.0,0.237,-7.905,0.0,reggaeton,73.0,0.262,175.924,0.0,0.7170000000000001
11,12,0.41600000000000004,0.787,240200.0,0.679,12.0,0.0,9.0,0.15,-4.913,1.0,reggaeton,59.0,0.0658,89.988,0.0,0.875
12,13,0.0959,0.8290000000000001,239307.0,0.878,13.0,0.0,9.0,0.7759999999999999,-5.9510000000000005,1.0,reggaeton,73.0,0.10099999999999999,87.991,0.0,0.883
13,14,0.171,0.8079999999999999,235627.0,0.682,14.0,1.42e-06,2.0,0.46399999999999997,-7.127999999999999,1.0,reggaeton,63.0,0.0963,89.98700000000001,0.0,0.491
14,15,0.0282,0.825,214354.0,0.852,15.0,0.000264,6.0,0.13,-6.471,0.0,reggaeton,64.0,0.0789,95.02799999999999,0.0,0.813
15,16,0.457,0.828,212533.0,0.6659999999999999,16.0,0.0,9.0,0.0834,-7.454,1.0,reggaeton,65.0,0.152,91.961,0.0,0.44
16,17,0.11199999999999999,0.804,188733.0,0.745,17.0,0.0,4.0,0.0924,-5.805,0.0,reggaeton,66.0,0.0744,95.024,0.0,0.512
17,18,0.185,0.677,240973.0,0.946,18.0,3.56e-06,6.0,0.27399999999999997,-2.887,1.0,reggaeton,58.0,0.0553,96.01100000000001,0.0,0.948
18,19,0.0567,0.775,196360.0,0.7440000000000001,19.0,0.0,7.0,0.392,-5.912000000000001,1.0,reggaeton,63.0,0.0916,92.98,0.0,0.581
19,20,0.4,0.815,151667.0,0.856,20.0,8.340000000000001e-05,1.0,0.244,-3.825,0.0,reggaeton,67.0,0.122,91.995,0.0,0.872
20,21,0.27699999999999997,0.852,224707.0,0.66,21.0,0.0,2.0,0.207,-6.1770000000000005,1.0,reggaeton,61.0,0.22399999999999998,94.006,0.0,0.517
21,22,0.10099999999999999,0.7979999999999999,227467.0,0.8140000000000001,22.0,5.41e-06,7.0,0.18100000000000002,-6.153,1.0,reggaeton,63.0,0.0542,95.007,0.0,0.524
22,23,0.217,0.815,196573.0,0.768,23.0,1.69e-06,6.0,0.0632,-6.276,0.0,reggaeton,65.0,0.171,93.971,0.0,0.667
23,24,0.332,0.857,192600.0,0.8009999999999999,24.0,1.2e-06,0.0,0.0789,-6.499,1.0,reggaeton,75.0,0.0618,96.009,0.0,0.753
24,25,0.266,0.6809999999999999,230080.0,0.802,25.0,0.0,1.0,0.35200000000000004,-4.518,1.0,reggaeton,35.0,0.175,88.029,0.0,0.765
25,26,0.0775,0.738,225573.0,0.85,26.0,0.0,7.0,0.162,-5.818,0.0,reggaeton,68.0,0.0403,94.999,0.0,0.6779999999999999
26,27,0.32899999999999996,0.503,305280.0,0.9,27.0,0.0,5.0,0.179,-5.181,0.0,reggaeton,63.0,0.308,86.88799999999999,0.0,0.7440000000000001
27,28,0.11199999999999999,0.784,231773.0,0.7929999999999999,28.0,0.0,10.0,0.134,-4.573,0.0,reggaeton,61.0,0.12300000000000001,95.977,0.0,0.638
28,29,0.0558,0.847,255987.0,0.873,29.0,3.21e-06,8.0,0.325,-4.805,0.0,reggaeton,63.0,0.0804,116.007,0.0,0.966
29,30,0.0833,0.843,191078.0,0.797,30.0,2.16e-06,1.0,0.22899999999999998,-4.962,1.0,reggaeton,53.0,0.0894,96.948,0.0,0.6970000000000001
30,31,0.23600000000000002,0.738,285333.0,0.875,31.0,1.39e-05,1.0,0.13,-3.365,1.0,reggaeton,66.0,0.109,90.036,0.0,0.91
31,32,0.563,0.8009999999999999,225693.0,0.773,32.0,0.00425,8.0,0.10300000000000001,-6.651,0.0,reggaeton,62.0,0.0896,94.988,0.0,0.7959999999999999
32,33,0.18100000000000002,0.629,269559.0,0.893,33.0,0.0,1.0,0.115,-4.0089999999999995,0.0,reggaeton,56.0,0.275,94.042,0.0,0.86
33,34,0.0466,0.753,279187.0,0.628,34.0,0.0,0.0,0.317,-11.571,1.0,reggaeton,27.0,0.071,107.25299999999999,0.0,0.691
34,35,0.0817,0.701,199213.0,0.914,35.0,0.0,0.0,0.0448,-4.938,1.0,reggaeton,54.0,0.0851,130.078,0.0,0.8859999999999999
35,36,0.0134,0.7879999999999999,295533.0,0.833,36.0,1.04e-06,8.0,0.114,-9.263,1.0,reggaeton,67.0,0.287,172.388,0.0,0.35600000000000004
36,37,0.040999999999999995,0.8079999999999999,232020.0,0.6970000000000001,37.0,0.0,10.0,0.0546,-5.899,1.0,reggaeton,63.0,0.24100000000000002,95.06,0.0,0.5539999999999999
37,38,0.24600000000000002,0.924,204347.0,0.782,38.0,0.0,10.0,0.0659,-4.55,0.0,reggaeton,63.0,0.0816,95.01,0.0,0.745
38,39,0.322,0.84,182570.0,0.8370000000000001,39.0,0.0,5.0,0.10099999999999999,-6.2989999999999995,1.0,reggaeton,56.0,0.155,95.01899999999999,0.0,0.728
39,40,0.0827,0.86,303543.0,0.6990000000000001,40.0,0.00197,3.0,0.26,-6.415,0.0,reggaeton,63.0,0.0974,93.992,0.0,0.871
40,41,0.316,0.9440000000000001,183133.0,0.8740000000000001,41.0,0.0,2.0,0.374,-3.8139999999999996,0.0,reggaeton,58.0,0.175,120.056,0.0,0.836
41,42,0.096,0.7959999999999999,246080.0,0.866,42.0,0.00025,10.0,0.0561,-6.087000000000001,0.0,reggaeton,54.0,0.0595,94.991,0.0,0.877
42,43,0.00268,0.763,273573.0,0.597,43.0,0.000341,6.0,0.278,-11.229000000000001,1.0,reggaeton,31.0,0.21899999999999997,106.542,0.0,0.772
43,44,0.172,0.7440000000000001,157701.0,0.9209999999999999,44.0,4.86e-06,9.0,0.146,-4.521,0.0,reggaeton,61.0,0.0889,93.001,0.0,0.718
44,45,0.0315,0.7509999999999999,291960.0,0.8809999999999999,45.0,1.1400000000000001e-05,9.0,0.0855,-4.329,0.0,reggaeton,44.0,0.253,92.97200000000001,0.0,0.6940000000000001
